Songs_title,lyrics,link,duble_check
백아 - 테두리,"내 내 그 오늘도 오늘도 담을 말이없는 걸 걸
뜸 뜸들을을 그 댈 추억 하오 하오
늦은 늦은 꺼내서 밤 해
누구 누구위한를 사랑 사랑 노래를
꽃 꽃 정든 남방을 쥐고 쥐고
세상 세상 그대에 울리면 난 난
기억 기억 잃고을 태어난 대도 대도
머무르고 머무르고 떼 싶다 써 요 요
빛 빛 테두리에 그리고
주위 주위 맴도를 난
그 그이 달 게 요 요
내 내 무뎌지지 맘은
익숙해지지만 익숙해지지만 주시오
깊어질수록 깊어질수록 운 슬피도 아닌 아닌
부슬비 부슬비 나처럼 테 요 요
빛 빛 테두리에 그리고
주위 주위 맴도를 난 그 그
그 그이 달 게 요 요
나 나 그대의 비록 비록이 될 순 없지만 없지만
감히 감히 없던 그대을 떠올리느니 떠올리느니
사랑 사랑 아니길
어리숙한 어리숙한 정리 마음 못한
어울리지 어울리지 마음 않는
그 그 바라 댈 내 내가 밉소
왜 왜는 나 마저도 마저도 노력하고
깊어진 깊어진 맘 내 초라해지는 걸 걸
내 내 그 오늘도 오늘도 담을 말이없는 걸 걸",https://www.youtube.com/watch?v=R8axRrFIsFI&pp=ygUS67Cx7JWEIC0g7YWM65GQ66as,백아 (Baek.a) - 테두리
"카더가든 - 그날, 우리","가끔 가끔 돼
유난히 유난히
아무 아무 없던 말 말 밤의 우리를를
사라져 사라져 침묵 버린
아니 아니 의도 사실 마지막에에
넌 넌 있었어
혼자서 혼자서 날들
이제 이제 의미 다
아주 아주 떠나 멀리 싶어
아무 아무도 발걸음 않게
아주 아주 떠나 멀리있어
너 너 만났던를 때 그대로 그대로
언제 언제 였을까
하루 하루지나
더 더 곳 깊은 가두려 했었지 했었지
외로운 외로운 일상 내에
조금 조금 바랬어
긴 긴 끝이길 한숨도
혼자서 혼자서 날들
멀리서 멀리서 기억
이젠 이젠 의미 다 봐
아주 아주 떠나 멀리 싶어
아무 아무도 발걸음 않게
아주 아주 떠나 멀리있어
너 너 만났던를 때 그대로 그대로
조금씩 조금씩 무너져만 무너지고
아물 아물 상처은은로 스며든 위로로
모든 모든 흩어져 게 오늘이이
믿기지 믿기지 네 않아 없어진 하루 하루
너 너 어땠는지는 싶어
이런 이런가 내 보인대도
너 너 아무렇지는 걸까
멀어져 멀어져 버린가 일까",https://www.youtube.com/watch?v=8ebPs7hKrc4,"카더가든 Car, the garden - 그날,우리 Get To You Official M/V"
이고도 - Mouse,"여기요
긴 긴 요 고에
숨죽여 숨죽여 법있는 알고 알고 있지 않니
그 그을 방법에게도에게도 알려 줘
때 때되면가 모두
어디론가 어디론가 거잖아
난 난 분주 어쩌면 사람들 사람들 틈에
더 더있는 가만히을 배웠어 배웠어
오, 나는 죽은 척해야합니다
나는이 도시에있다
그리고 나는 밤을 겪고있다
오, 나는 숨을 참아야합니다
나는 사랑을 찾을 것이다
여기에서 살아남을 수있는 방법을 찾으십시오
모두 모두
지나가고
난 난에야 후 후를내어 소릴 내 내
안길 안길없는 품에는
얼룩이 얼룩이
때 때되면가 모두
어디론가 어디론가 거잖아
난 난 분주 어쩌면 사람들 사람들 틈에
더 더있는 가만히을 배웠어 배웠어
오, 나는 죽은 척해야합니다
나는이 도시에있다
그리고 나는 밤을 겪고있다
오, 나는 숨을 참아야합니다
나는 사랑을 찾을 것이다
여기에서 살아남을 수있는 방법을 찾으십시오
오, 나는 죽은 척해야합니다
나는이 도시에있다
그리고 나는 밤을 겪고있다
오, 나는 숨을 참아야합니다
나는 사랑을 찾을 것이다
여기에서 살아남을 수있는 방법을 찾으십시오
나 나 왜는 견디질 못해 못해
삐끗하다간 삐끗하다간 크게 더 텐 데 데
저길 저길 그림자 봐 흔들리잖아",https://www.youtube.com/watch?v=fLWuMf3ggHc,[Official Audio] 이고도 (Lee go do) - Mouse
박소은 - 너는 나의 문학,"너 너 어느는없는
소설가 소설가 문학의 문장
아니 아니 부족 그걸론
너 너 어느는없는
소설가 소설가 마지막의
안 안 이것 돼 부족한데한데
너 너 나는 수레바퀴 아래서 아래서
너 너 나는는 호밀 밭의 파수꾼 파수꾼
너 너 나는 헤밍웨이 요조 요조
나 나 너는는 나는 너를를
계속 계속 싶어
닳아 닳아 때 없어질
계속 계속 싶어
해져 해져 때 찢어질
계속 계속 싶어
닳아 닳아 때 없어질
계속 계속 싶어
해져 해져 때 찢어질
너 너 말의 시가되어되어
텅 텅 책 빈 받아 적히고 적히고
그걸 그걸 들고
다닐 다닐 야
너 너 노랜의이되어되어
내 내 속 눈 깊이 박히고 박히고
모두 모두를 너 될 될 거 야
너 너 나는 노르웨이 노르웨이의 숲
너 너 나는 데미안
너 너 나는는 설명 할 수없는 책 책
나 나 너는는 나는 너를를
계속 계속 싶어
닳아 닳아 때 없어질
계속 계속 싶어
해져 해져 때 찢어질
계속 계속 싶어
닳아 닳아 때 없어질
계속 계속 싶어
해져 해져 때 찢어질
계속 계속 싶어
달 달 넘어갈이까지
계속 계속 싶어
해 해 떨어질가까지
너 너 나는는 너는 나의 책 책
너 너 나는는 너는 나의 문학 문학
너 너 나는 마지막 문장 문장
너 너 나는는 너는 내 첫 문장 문장",https://www.youtube.com/watch?v=PhevISm-8-w,[온스테이지2.0] 박소은 - 너는 나의 문학
이강승 - 사랑이 너무 헤퍼,"사랑 사랑 너무이이 그 말을 못 했네 했네
말라붙은 말라붙은에 입은 아니고 아니고
스쳐진 스쳐진에 옷깃 인연이었는데이었는데
떠나가 떠나가 난 버리면해야 해 해
풀어진 풀어진 한가운데 마음 게
사랑 사랑 웃지이라이라 너는 바보일 거 야 야
얘길 얘길 내해도이 헤퍼 헤퍼
그게 그게 무시 어리석다
다들 다들 할 기억 야
사랑 사랑 아픈에에이 오늘을 덮칠 때 때
어쩔 어쩔 몰라서 줄 발걸음
가만히 가만히 이상보다 주변 주변을 살피니
겁 겁 먹은을을 나뿐이 아니네 아니네
풀어진 풀어진 한가운데 마음 게
사랑 사랑 웃지이라이라 너는 바보일 거 야 야
얘길 얘길 내해도이 헤퍼 헤퍼
그게 그게 무시 어리석다
다들 다들 할 기억 야
나는 당신이 당신을 더 많이 필요로합니다
당신이 거기에 있다면 당신은 내가 당신을 사랑한다는 것을 압니다
나는 당신이 당신을 더 많이 필요로합니다
당신이 거기에 있다면 당신은 내가 당신을 사랑한다는 것을 압니다
풀어진 풀어진 한가운데 마음 게
사랑 사랑 웃지이라이라 너는 바보일 거 야 야
얘길 얘길 내해도이 헤퍼 헤퍼
그게 그게 무시 어리석다
다들 다들 할 기억 야
나는 당신이 당신을 더 많이 필요로합니다
당신이 거기에 있다면 당신은 내가 당신을 사랑한다는 것을 압니다
나는 당신이 당신을 더 많이 필요로합니다
당신이 거기에 있다면 당신은 내가 당신을 사랑한다는 것을 압니다",https://www.youtube.com/watch?v=y1bxfrmfLi8,이강승 - 사랑이 너무 헤퍼 / 가사
김새녘 - 의심,"날 날 전 버리기
다시금 다시금 요
싫었던 싫었던을
한없이 한없이
당신 당신 거짓말의 말 말에도
미워 미워 않았어
아직 아직 더 날
감당 감당 수 할 것 같은 같은
내 내 이해 진심을 줘
지나친 지나친은
아련히 아련히
그 그 날 어떤
아픈 아픈 그때 건 텐 데 데
마지막 마지막 모습 그대의
미워 미워 수 할
아직 아직 마음 난
다 다 잊을 버리고없는
기억 기억을 속 요
거짓말
아직 아직
거짓말",https://www.youtube.com/watch?v=-IgyD-IH6cM,[Official Audio] 김새녘 (saeneok) - 의심 (doubt)
콜드 - 아무도 모르는 노래,"나 나 스쳐를 그대
내 내을 말 줘
걸음 걸음 멈추고
내 내 들어 노랠
그래 그래
텅 텅 거리 빈 불
날 날 비추면
무대 무대 시작를
나 나 여기 홀로
그래 그래
축 축 고개들 처진
비틀 비틀는 거리
그렇게 그렇게는 나이 돼 돼
아무도 아무도 아무도 예
노래 노래 부르며 예
텅 텅 거리 빈
채우는 채우는
난 난을 꿈
늘 늘을 꿈 꿈 예
아무도 아무도
노래 노래 부를래
지나가는 지나가는의
마음 마음 붙잡을을 있길 바라며 바라며",https://www.youtube.com/watch?v=NXMUTPOh2gw,A Song Nobody Knows (아무도 모르는 노래)
위수 - 교토,"이상 이상 만치 하리 하리 하늘 아래에 서서 서서
너 너 안고를
가진 가진이 것 것 것도 없지만
너 너 늘에게 해 해주고 싶어
살아야지
나 나 살아는에게
니가 니가 싶은 살고되어 줘야지 줘야지
험난 험난 세상 한
너 너 언제는 나
나 나 마음의 영원 영원 한 교토
언젠가 언젠가의 너을 잡고 잡고
다시 다시에 이곳 수 있을까 있을까
가진 가진이 것 것 것도 없어서
너 너는에게 말 못하고 못하고
그저 그저 수 안아줄 없어
슬픈 슬픈을 꿈 일어난 일어난 것처럼
너 너 잊어야만를 날이이
오지 오지를
슬픈 슬픈을 꿈 일어난 일어난 것처럼
너 너 잊어야만를 날이이
오지 오지를
살아야지
나 나 살아는에게
니가 니가 싶은 살고되어 줘야지 줘야지
험난 험난 세상 한
너 너 언제는 나
나 나 마음의 영원 영원 한 교토",https://www.youtube.com/watch?v=P-E3l-A62bc,"[가사] 위수, 교토 / 나는 살아 너에게 네가 살고 싶은 세상이 되어줘야지 (WISUE - Kyoto)"
리도어 - 사랑의 미학,"미리 미리
조금 조금 아팠을까
내 내를 하루 줄 줄 일기장에는
또 또을 무엇
부풀린 부풀린에 사랑 요
뒷걸음치는 뒷걸음치는 모습 내 요
내 내 나가 괴롭혔네 요 요
어둠이 어둠이 난 떨어져도
풍선 풍선 매달린에
해 해 떠오른다면
옅어진 옅어진를 우리 거예요예요
꽃잎은 꽃잎은해도
부풀린 부풀린에 사랑 요
뒷걸음치는 뒷걸음치는 모습 내 요
내 내 나가 괴롭혔네 요 요
어둠이 어둠이 난 떨어져도
떠내려간 떠내려간이 마음없이없이 찾아와 요
사라진 사라진 만 흔적한데
부풀린 부풀린에 사랑 요
뒷걸음치는 뒷걸음치는 모습 내 요
내 내 나가 괴롭혔네 요 요
그늘이 그늘이 난 떨어져도
난 난 번 세 빙글 돌아요 돌아요
어지러운 어지러운은 세상 요
사랑 사랑 말이란 몰라 요 요
후회 후회 삼켜봐야를 겠어 요 요",https://www.youtube.com/watch?v=0J9V1aNg4k0,리도어 (Redoor) -  사랑의 미학
Off the menu - Sunshine,"너 너 웃음의는
나 나들을 만있어서있어서 너무 좋아
너 너 나와는 닮아서
내 내 것 모든 모든 안 엔 네가있어있어
늦은 늦은 집 밤 돌아갈 때 때
벌써 벌써 얼굴 네 떠올라
아쉬움 아쉬움 네게에에 또 전화를 걸어 걸어
너 너 행운라는 있다는 게 게
어떤 어떤 그려지지가 단어로도
내가 당신의 마음을 찾을 때마다
내 내 내 속 마음 네가가 깊게 자리 잡고있어있어
나는 당신의 작은 손을 잡을 때마다
꽉 꽉 꽉이 잡은 손을을 꼭 놓지 않을 게 게
당신을 위한
당신을 위해
너 너 한에게 다가갈게
조금 조금어도 서툴 닿을테니까테니까
모른척 모른척 말아하지
투명 투명 세상 한 한 유일 한 선물은 너야 너야
내가 당신의 마음을 찾을 때마다
내 내 내 속 마음 네가가 깊게 자리 잡고있어있어
나는 당신의 작은 손을 잡을 때마다
꽉 꽉 꽉이 잡은 손을을 꼭 놓지 않을 게 게
당신을 위한
내가 당신의 마음을 찾을 때마다
나는 당신의 작은 손을 잡을 때마다",https://www.youtube.com/watch?v=OZkyGJD5it8,Sunshine
